시험고유번호,시험명,과목,대단원,중단원,정답,배점,표준반응시간(초),표준총응시시간(초),생성일,과정번호,분류코드
4,[오답문항]전효린_수학(상)_04여러 가지 방정식_테스트_000,,,,"[1, 5, 3]","[0, 0, 0]","[60, 60, 75]",195.0,2023/02/18,0,
7,수학2_01미분계수와 도함수_테스트_002,수학2,,,"['28', '7', '3', '4', '1']","[16, 10, 24, 24, 26]","[30, 20, 45, 45, 45]",185.0,2023/02/18,0,
8,[오답문항]임고근_수학2_01미분계수와 도함수_테스트_002,,,,"[28, 7, 3, 4]","[0, 0, 0, 0]","[30, 20, 45, 45]",140.0,2023/02/18,0,
13,고등선행_03이차방정식_테스트_001,고등선행,,,"['4', '16', '-7', '5', '5']","[23, 14, 9, 23, 31]","[75, 45, 30, 75, 90]",315.0,2023/02/21,0,
12,고등선행_03이차방정식_테스트_002,고등선행,,,"['255', '1', '-5', '4', '3']","[31, 15, 7, 39, 8]","[60, 30, 15, 75, 10]",190.0,2023/02/21,0,
11,고등선행_03이차방정식_테스트_003,고등선행,,,"['-1', '30', '4', '2', '-7']","[26, 20, 13, 20, 21]","[60, 45, 30, 45, 45]",225.0,2023/02/21,0,
10,고등선행_03이차방정식_테스트_004,고등선행,,,"['1', '2', '2', '3', '2']","[26, 35, 26, 5, 8]","[45, 60, 45, 10, 10]",170.0,2023/02/21,0,
14,[오답문항]박핑코_고등선행_03이차방정식_테스트_001,,,,"[4, 5]","[45, 55]","[75, 90]",165.0,2023/02/21,0,
17,수학1_삼각함수_01삼각함수와 그래프_001,수학1,삼각함수,01삼각함수와 그래프,"['4', '4', '3', '5', '1']","[14, 18, 14, 22, 32]","[60, 75, 60, 90, 120]",405.0,2023/02/22,0,
18,[오답문항]임고근_수학1_삼각함수_01삼각함수와 그래프_000,,,,"[3, 5, -3, 2]","[23, 29, 29, 19]","[60, 75, 75, 45]",255.0,2023/02/22,0,
19,수학(상)_02이차방정식_테스트_000,수학(상),,,"['4', '2', '4', '-2', '4']","[11, 22, 11, 22, 34]","[30, 60, 30, 60, 90]",270.0,2023/02/22,0,
20,[오답문항]이준서_수학1_삼각함수_01삼각함수와 그래프_000,,,,[5],[100],[120],120.0,2023/02/22,0,
21,[오답문항]전효린_수학(상)_02이차방정식_테스트_000,,,,[4],[100],[90],90.0,2023/02/22,0,
